"dcg"
{
	// General Strings
	"OK"											"ОК"
	"DCG_CardText_ChargesTooltip"						"<BR>Зарядов: {i:charges}"
	"DCG_CardEffectSourceEx_Native"					"Начальное значение"
	"DCG_CardEffectSourceEx_CE"						"Аура"
	"DCG_CardEffectSourceEx_EquippedItem"			"Используемый предмет"
	"DCG_CardEffectSourceEx_AttachedMod"			"Постоянный эффект"
	"DCG_ModifiedCard_NotTargetable"				"Не может быть целью"
	"DCG_ModifiedCard_BeenHacked"					"Взломана"
	"DCG_ModifiedCard_Hacked"						"Модификаций противника: {s:cardModifierNumHacks}."
	"DCG_ModifiedCard_Locked"						"Под замком. Раундов осталось: {i:cardModifierLocked}."
	"DCG_ModifiedCard_Revealed"						"Видна противником."
	"DCG_ModifiedCard_CopiedByCard"					"Источник: <span class=\"KeywordText\">{s:copied_by_name}</span>"
	"DCG_ActiveAbility_Prefix"						"<span class=\"AbilityCardText\">Активная {i:cooldown} &#9632;, 1 мана:</span> "

	// User Feedback
	"DCG_UserFeedback_Tooltip"						"Отправить отзыв"
	"DCG_UserFeedback_Title"						"Отправить отзыв"
	"DCG_UserFeedback_TextPlaceholder"				"Введите информацию"
	"DCG_UserFeedback_TypeLabel"					"Тип"
	"DCG_UserFeedback_Submit"						"Отправить"
	"DCG_UserFeedback_SubmitProcessing"				"Подождите"
	"DCG_UserFeedback_SubmitProcessingTitle"		"Отправка отзыва"
	"DCG_UserFeedback_Result_Success"				"Благодарим вас за отзыв. Мы обязательно его рассмотрим."
	"DCG_UserFeedback_Result_SuccessTitle"			"Отзыв отправлен"
	"DCG_UserFeedback_Result_GenericFailure"		"Ошибка при отправке отзыва: не удалось подключиться к сети Artifact. Повторите попытку через пару минут."
	"DCG_UserFeedback_Result_GenericFailureTitle"	"Невозможно отправить"
	"DCG_UserFeedback_eType_CriticalBug"			"Критическая ошибка"
	"DCG_UserFeedback_eType_Bug"					"Неполадка"
	"DCG_UserFeedback_eType_Suggestion"				"Предложение"
	"DCG_UserFeedback_eType_Other"					"Другое"
	"DCG_UserFeedback_eType_General"				"Общий комментарий"
	"DCG_SurveyQuestion_MatchQuality"				"Пожалуйста, оцените прошедшую игру"
	"DCG_SurveyFeedback_Title"						"Отправить отзыв?"
	"DCG_SurveyFeedback_Question_1_1"				"Похоже, эта игра не очень вам понравилась. Не могли бы вы рассказать, как можно было бы сделать её лучше?"
	"DCG_SurveyFeedback_Question_1_2"				"Похоже, эта игра не очень вам понравилась. Не могли бы вы рассказать, как можно было бы сделать её лучше?"
	"DCG_SurveyFeedback_Question_1_3"				"Похоже, эта игра прошла довольно обычно. Не могли бы вы рассказать, как можно было бы сделать её лучше?"
	"DCG_SurveyFeedback_Question_1_4"				"Похоже, эта игра прошла хорошо. Не могли бы вы рассказать, что вам понравилось, а что мы могли бы сделать лучше?"
	"DCG_SurveyFeedback_Question_1_5"				"Похоже, эта игра пришлась вам по душе. Не могли бы вы рассказать, что вам так понравилось?"

	// Dashboard
	"DCG_Dashboard_BuildVersion"					"Сборка «Зов битвы»: {d:majorVersionNumber}.{d:minorVersionNumber}.{s:buildNumber}"
	"DCG_Dashboard_BottomBar_Collection"			"Коллекция"
	"DCG_Dashboard_BottomBar_Play"					"Играть"
	"DCG_Dashboard_BottomBar_ControlsLibrary"		"Зоопарк"
	"DCG_Dashboard_WatchTab_Replays"				"Записи"
	"DCG_Dashboard_LostGCConnection_Title"				"Нет соединения с сетью Artifact."
	"DCG_Dashboard_LostGCConnection_Desc"				"Многие важные функции, такие как поиск игры, свободная игра и инвентарь, сейчас не работают. Доступ к ним будет автоматически восстановлен при первой возможности."
	"DCG_Dashboard_BuyPacks"						"Купить комплекты"
	"DCG_Dashboard_OpenPacks"						"Открыть комплекты"
	"DCG_Dashboard_MOTDTimestampFormat"				"{t:f:timestamp}"
	"DCG_Dashboard_MOTDTooltip"						"Сообщения"
	"DCG_Dashboard_ZooBar_Buttons"					"Кнопки"
	"DCG_Dashboard_ZooBar_Text"						"Текст"
	"DCG_Dashboard_ZooBar_Controls"					"Управление"
	"DCG_Dashboard_TopBar_Settings"					"Настройки"
	"DCG_Dashboard_TopBar_PatchNotes"				"Список изменений"

	// Gauntlet
	"DCG_Gauntlet_Title"							"Состязание драфта"
	"DCG_Gauntlet_AbandonRun"						"Покинуть состязание"
	"DCG_Gauntlet_AbandonRun_Featured"				"Покинуть состояние"
	"DCG_Gauntlet_FindNextMatch"					"Найти игру"
	"DCG_Gauntlet_PracticeMatch"					"Тренировка с ботами"
	"DCG_Gauntlet_TrophyLevel"						"Уровень"
	"DCG_Gauntlet_CurrentStreak"					"Серия побед:"
	"DCG_Gauntlet_DeckStreak"						"Лучшая серия побед колодой «{s:featured_deck_name}»:"
	"DCG_Gauntlet_BestStreak"						"Лучшая серия побед любой колодой:"
	"DCG_Gauntlet_PerfectRuns"						"Идеальных состязаний: {d:gauntlet_perfect_runs}"
	"DCG_Gauntlet_HighScore"						"Лучшая серия побед: {d:gauntlet_high_score}"
	"DCG_Gauntlet_Perfect"							"Идеальных состязаний: {d:perfect} ({s:winrate}%)"
	"DCG_Gauntlet_TrophyScore"						"Уровень состязания: {d:rating}<br/>Попыток: {d:attempts}<br/>Идеальных состязаний: {d:perfect}"
	"DCG_Gauntlet_GauntletRuns"						"Попыток: {d:gauntlet_attempts}"
	"DCG_Gauntlet_Leaderboard"						"Лидеры"
	"DCG_Gauntlet_Abandon"							"Покинуть"
	"DCG_Gauntlet_StartGauntlet"					"Начать"
	"DCG_Gauntlet_CollectRewards"					"Завершить"
	"DCG_Gauntlet_Abandon_Description"				"Вы действительно хотите покинуть состязание? Все оставшиеся игры будут считаться поражениями, и вы получите награды только за текущее число побед"
	"DCG_Gauntlet_Featured_Abandon_Description"		"Вы уверены, что хотите покинуть состязание «Зов битвы»? Текущая серия побед обнулится."
	"DCG_Gauntlet_ShardsInfo"						"Прогресс уровня {d:gauntlet_current_shards}/{d:gauntlet_shards_per_trophy}"
	"DCG_Gauntlet_FiveGames"						"Состязаний без поражений."
	"DCG_Gauntlet_Info"								"Состязание драфта — это соревновательный режим, в котором вы составляете колоду из нескольких комплектов случайных карт, после чего проводите с этой колодой 5 игр. Очки начисляются по числу побед.<br/><br/>За каждые 10 очков ваш уровень состязания возрастает. Уровни сохраняются до конца сезона.<br/> <br/> Начисление очков: <br/>1 победа: 1 очко<br/>2 победы: 3 очка<br/>3 победы: 5 очков<br/>4 победы: 7 очков<br/>5 побед: 10 очков + идеальное состязание"
	"DCG_Gauntlet_ShowDeck"							"Колода"
	"DCG_Gauntlet_EditDeck"							"Изменить колоду"
	"DCG_Gauntlet_LobbyCooldownTitle"				"Ожидание игры"
	"DCG_Gauntlet_LobbyCooldownDescription"			"Ваша предыдущая игра в состязании ещё не завершена. Вы сможете начать новую игру по завершении текущей или через {t:d:countdown_time}."
	"DCG_Gauntlet_LobbyTimeoutDiscardMatchTitle"	"Ожидание игры"
	"DCG_Gauntlet_LobbyTimeoutDiscardMatchDescription"	"Результат предыдущей игры состязания ещё не записан. Если вы начнёте искать новую игру, результат старой пропадёт и не засчитается. Вы действительно хотите продолжить?"
	"DCG_Gauntlet_GrantStage"						"Драфт"
	"DCG_Gauntlet_RegisterDeck"						"Зарегистрировать"
	"DCG_Gauntlet_GrantTitle"						"Этап {d:grantNumber} из {d:grantStages}"
	"DCG_Gauntlet_GrantChoose"						"Выберите {d:totalChoices}"
	"DCG_Gauntlet_GrantOverBudget"					"Недостаточно средств"
	"DCG_Gauntlet_GrantNext"						"Далее"
	"DCG_Gauntlet_GrantNextLiveDraft"				"Далее"
	"DCG_Gauntlet_Previous"							"Назад"
	"DCG_Gauntlet_GrantDone"						"Завершить"
	"DCG_Gauntlet_GrantWaitForGC"					"Подождите"
	"DCG_Gauntlet_GrantChooseMore"					"Выберите ещё {d:remainingSelectionCount}"
	"DCG_Gauntlet_GrantChooseMoreSingular"			"Выберите карту"
	"DCG_Gauntlet_GrantFinish"						"Завершить"
	"DCG_Gauntlet_GrantStageGroupCount"				"Комплект {d:grantStageGroupNumber}"
	"DCG_Gauntlet_GrantStageCount"					"{d:grantStageCount} шт."
	"DCG_Gauntlet_GrantStageType1"					"Героев: {d:grantStageCount}"
	"DCG_Gauntlet_GrantStageType2"					"Карт: {d:grantStageCount}"
	"DCG_Gauntlet_GrantStageType3"					"Предметов: {d:grantStageCount}"
	"DCG_Gauntlet_GrantStageType4"					"Комплектов: {d:grantStageCount}"
	"DCG_Gauntlet_DraftStage0"						"От выбранных героев также зависят цвета доступных в драфте карт."
	"DCG_Gauntlet_QuitDraftStage"					"Покинуть"
	"DCG_Gauntlet_QuitDraftStage_Description"		"Вы действительно хотите покинуть драфт? Выбранные карты не сохранятся, и вы не получите очков."
	"DCG_Gauntlet_DraftTitle"						"Драфт"
	"DCG_Gauntlet_DraftReplayTitle"					"Запись драфта"
	"DCG_Gauntlet_LiveDraftTitle"					"Драфт"
	"DCG_Gauntlet_DraftTitleDesc"					"Выбирайте карты: {i:grant_number} за раз"
	"DCG_Gauntlet_DraftTitleDescSingular"			"Выбирайте карты: {i:grant_number} за раз"
	"DCG_Grant_ProgressLabel"						"/{i:totalStages} {s:grantType}"
	"DCG_Grant_GrantTypePack"						"Комплектов"
	"DCG_Grant_CardProgressLabel"					"/{i:totalCards} карт"
	"DCG_Grant_SortBy"								"Сортировка по:"
	"DCG_Gauntlet_EmptyDeckString"					"Выбирайте карты слева, чтобы добавить их в вашу колоду."
	"DCG_Gauntlet_RulesHeader"						"Правила"
	"DCG_Gauntlet_RewardsHeader"					"Награды"
	"DCG_Gauntlet_CurrentDeckHeader"				"Текущая колода
	"DCG_Gauntlet_ViewLabel"						"Просмотреть"
	"DCG_Gauntlet_CopyLabel"						"Скопировать"
	"DCG_Gauntlet_GauntletComplete"					"Получить награды"
	"DCG_Gauntlet_GauntletCompleteNoRewards"		"Завершить состязание"
	"DCG_Gauntlet_WinsLabel"						"Победы"
	"DCG_Gauntlet_LossesLabel"						"Поражения"
	"DCG_Gauntlet_TheBenchText"						"<span class=\"EmptyListTitle\">Запас</span><br/><br/> <span class=\"BenchDescription\">В запасе находятся карты, которые вы убрали из колоды. Их можно вернуть в колоду до её регистрации. Чтобы переместить карты в запас, перетаскивайте их сюда из списка выше или щёлкайте по ним правой кнопкой мыши.</span>"
	"DCG_Gauntlet_StartNew"							"Новое состязание"
	"DCG_Gauntlet_Rewards"							"<span class=\"DarkGrey\">Награды:</span>"
	"DCG_Gauntlet_ConfirmEntryFee"					"Подтвердить оплату"
	"DCG_Gauntlet_ConfirmEntryFee_Tickets"			"Вы уверены, что хотите использовать {d:entryFeeTickets} билет для участия в этом состязании? (билетов у вас: {d:totalTickets})"
	"DCG_Gauntlet_ConfirmEntryFee_TicketsAndPacks"	"Вы уверены, что хотите использовать {d:entryFeeTickets} билета и {d:entryFeePacks} комплектов для участия в этом состязании? (билетов у вас: {d:totalTickets}; комплектов у вас: {d:totalPacks})"
	"DCG_Gauntlet_TicketRewardsLabel"				"{d:numTicketRewards}"
	"DCG_Gauntlet_PackRewardsLabel"					"{d:numPackRewards}"
	"DCG_Gauntlet_Expiration"						"Дата окончания: {t:s:t:m:event_expiration}"
	"DCG_Gauntlet_ExpirationSoon"					"Событие скоро закончится: {s:event_expiration_short_time}"
	"DCG_Gauntlet_InfiniteWinsCount"				"Побед: {d:infinite_wins_count}"
	"DCG_Gauntlet_PopupSelectedDeck"				"Вы уверены, что хотите начать испытание «Зов битвы» с колодой <span class=\"FeaturedDeckNameConfirm\">«{s:featured_deck_name}»</span>?"
	"DCG_Gauntlet_PopupSelectDeckTitle"				"Избранная колода для состязания"
	"DCG_Gauntlet_RestartRun"						"Начать заново"

	"DCG_Gauntlet_Name_5"							"Зов <span class=\"FeaturedLittle\"></span>битвы"
	"DCG_Gauntlet_Desc_5"							"Познакомьтесь с картами и стратегиями серии «Зов битвы». Играйте до первого поражения,\nа мощные подобранные колоды помогут найти любимый стиль игры."

	"DCG_Gauntlet_Name_7"							"Личная колода"
	"DCG_Gauntlet_Desc_7"							"Докажите своё мастерство в состязании с соперниками. Подобрав идеальную колоду и умело ей воспользовавшись, вы завоюете победу и ценные награды."

	"DCG_Gauntlet_Name_8"							"Фантомный драфт"
	"DCG_Gauntlet_Desc_8"							"В режиме драфта вы постепенно выбираете карты из нескольких комплектов."

	"DCG_Gauntlet_Name_9"							"Комплектный драфт"
	"DCG_Gauntlet_Desc_9"							"Пополняйте свою коллекцию, соревнуясь за награды. Вы сохраните у себя выбранные карты — а если обыграете соперников, то заработаете ещё."

	"DCG_Gauntlet_Name_10"							"Личная колода"
	"DCG_Gauntlet_Desc_10"							"Вы разгромили ботов и теперь готовы проверить свои способности против настоящих противников. Какие же колоды принесут вам успех?"

	"DCG_Gauntlet_Name_11"							"Фантомный драфт"
	"DCG_Gauntlet_Desc_11"							"В режиме драфта вы постепенно выбираете карты из нескольких комплектов."

	"DCG_Gauntlet_Name_12"							"Борьба с ботом"
	"DCG_Gauntlet_Desc_12"							"Попробуйте одолеть ботов, играющих особыми колодами. Испытайте возможности своих карт или устройте себе серьёзную тренировку."

	"DCG_Gauntlet_Name_14"							"Геройский драфт"
	"DCG_Gauntlet_Desc_14"							"Выбирайте героев против живого противника."


	// Gauntlet Rules
	"DCG_Gauntlet_Rules_5_0"						"<span class=\"StandardGrey\">&#8226; Выберите подобранную колоду</span>"
	"DCG_Gauntlet_Rules_5_1"						"<span class=\"StandardGrey\">&#8226; Колоду нельзя сменить, пока вы не проиграете</span>"
	"DCG_Gauntlet_Rules_5_2"						"<span class=\"StandardGrey\">&#8226; Играйте до первого поражения</span>"
	"DCG_Gauntlet_Rules_5_3"						"<span class=\"StandardGrey\">&#8226; Побейте свой рекорд по числу побед подряд</span>"

	"DCG_Gauntlet_Rules_7_0"						"<span class=\"StandardGrey\">&#8226; Зарегистрируйте личную колоду</span>"
	"DCG_Gauntlet_Rules_7_1"						"<span class=\"StandardGrey\">&#8226; После регистрации колоду изменить нельзя</span>"
	"DCG_Gauntlet_Rules_7_2"						"<span class=\"StandardGrey\">&#8226; Играйте до <span class=\"LightGrey\">5</span> побед или <span class=\"LightGrey\">2</span> поражений</span>"

	"DCG_Gauntlet_Rules_8_0"						"<span class=\"StandardGrey\">&#8226; Выберите <span class=\"LightGrey\">60</span> карт из <span class=\"LightGrey\">5</span> комплектов и составьте колоду</span>"
	"DCG_Gauntlet_Rules_8_1"						"<span class=\"StandardGrey\">&#8226; Колоду можно изменять перед каждой игрой</span>"
	"DCG_Gauntlet_Rules_8_2"						"<span class=\"StandardGrey\">&#8226; Играйте до <span class=\"LightGrey\">5</span> побед или <span class=\"LightGrey\">2</span> поражений</span>"

	"DCG_Gauntlet_Rules_9_0"						"<span class=\"StandardGrey\">&#8226; Выберите <span class=\"LightGrey\">60</span> карт из <span class=\"LightGrey\">5</span> комплектов и составьте колоду</span>"
	"DCG_Gauntlet_Rules_9_1"						"<span class=\"StandardGrey\">&#8226; Колоду можно изменять перед каждой игрой</span>"
	"DCG_Gauntlet_Rules_9_2"						"<span class=\"StandardGrey\">&#8226; Играйте до <span class=\"LightGrey\">5</span> побед или <span class=\"LightGrey\">2</span> поражений</span>"

	"DCG_Gauntlet_Rules_10_0"						"<span class=\"StandardGrey\">&#8226; Зарегистрируйте личную колоду</span>"
	"DCG_Gauntlet_Rules_10_1"						"<span class=\"StandardGrey\">&#8226; После регистрации колоду изменить нельзя</span>"
	"DCG_Gauntlet_Rules_10_2"						"<span class=\"StandardGrey\">&#8226; Играйте до <span class=\"LightGrey\">5</span> побед или <span class=\"LightGrey\">2</span> поражений</span>"

	"DCG_Gauntlet_Rules_11_0"						"<span class=\"StandardGrey\">&#8226; Выберите <span class=\"LightGrey\">60</span> карт из <span class=\"LightGrey\">5</span> комплектов и составьте колоду</span>"
	"DCG_Gauntlet_Rules_11_1"						"<span class=\"StandardGrey\">&#8226; Колоду можно изменять перед каждой игрой</span>"
	"DCG_Gauntlet_Rules_11_2"						"<span class=\"StandardGrey\">&#8226; Играйте до <span class=\"LightGrey\">5</span> побед или <span class=\"LightGrey\">2</span> поражений</span>"

	"DCG_Gauntlet_Rules_12_0"						"<span class=\"StandardGrey\">&#8226; Зарегистрируйте личную колоду</span>"
	"DCG_Gauntlet_Rules_12_1"						"<span class=\"StandardGrey\">&#8226; После регистрации колоду изменить нельзя</span>"
	"DCG_Gauntlet_Rules_12_2"						"<span class=\"StandardGrey\">&#8226; Играйте до <span class=\"LightGrey\">5</span> побед или <span class=\"LightGrey\">2</span> поражений</span>"

	// Gauntlet Rewards
	"DCG_Gauntlet_Rewards_7_0"						"<span class=\"StandardGrey\">&#8226; <span class=\"LightGrey\">3</span> победы: <span class=\"LightGrey\">1</span> билет</span>"
	"DCG_Gauntlet_Rewards_7_1"						"<span class=\"StandardGrey\">&#8226; <span class=\"LightGrey\">4</span> победы: <span class=\"LightGrey\">1</span> билет</span>, <span class=\"LightGrey\">1</span> комплект карт</span>"
	"DCG_Gauntlet_Rewards_7_2"						"<span class=\"StandardGrey\">&#8226; <span class=\"LightGrey\">5</span> побед: <span class=\"LightGrey\">1</span> билет</span>, <span class=\"LightGrey\">2</span> комплекта карт</span>"

	"DCG_Gauntlet_Rewards_7_Wins_3"						"<span class=\"StandardGrey\">Награда за <span class=\"LightGrey\">3</span> победы: <span class=\"LightGrey\">1</span> билет</span>"
	"DCG_Gauntlet_Rewards_7_Wins_4"						"<span class=\"StandardGrey\">Награда за <span class=\"LightGrey\">4</span> победы: <span class=\"LightGrey\">1</span> билет</span>, <span class=\"LightGrey\">1</span> комплект карт</span>"
	"DCG_Gauntlet_Rewards_7_Wins_5"						"<span class=\"StandardGrey\">Награда за <span class=\"LightGrey\">5</span> побед: <span class=\"LightGrey\">1</span> билет</span>, <span class=\"LightGrey\">2</span> комплекта карт</span>"

	"DCG_Gauntlet_Rewards_8_0"						"<span class=\"StandardGrey\">&#8226; <span class=\"LightGrey\">3</span> победы: <span class=\"LightGrey\">1</span> билет</span>"
	"DCG_Gauntlet_Rewards_8_1"						"<span class=\"StandardGrey\">&#8226; <span class=\"LightGrey\">4</span> победы: <span class=\"LightGrey\">1</span> билет</span>, <span class=\"LightGrey\">1</span> комплект карт</span>"
	"DCG_Gauntlet_Rewards_8_2"						"<span class=\"StandardGrey\">&#8226; <span class=\"LightGrey\">5</span> побед: <span class=\"LightGrey\">1</span> билет</span>, <span class=\"LightGrey\">2</span> комплекта карт</span>"

	"DCG_Gauntlet_Rewards_8_Wins_3"						"<span class=\"StandardGrey\">Награда за <span class=\"LightGrey\">3</span> победы: <span class=\"LightGrey\">1</span> билет</span>"
	"DCG_Gauntlet_Rewards_8_Wins_4"						"<span class=\"StandardGrey\">Награда за <span class=\"LightGrey\">4</span> победы: <span class=\"LightGrey\">1</span> билет</span>, <span class=\"LightGrey\">1</span> комплект карт</span>"
	"DCG_Gauntlet_Rewards_8_Wins_5"						"<span class=\"StandardGrey\">Награда за <span class=\"LightGrey\">5</span> побед: <span class=\"LightGrey\">1</span> билет</span>, <span class=\"LightGrey\">2</span> комплекта карт</span>"

	"DCG_Gauntlet_Rewards_9_0"						"<span class=\"StandardGrey\">&#8226; <span class=\"LightGrey\">3</span> победы: <span class=\"LightGrey\">2</span> билета</span>, <span class=\"LightGrey\">1</span> комплект карт</span>"
	"DCG_Gauntlet_Rewards_9_1"						"<span class=\"StandardGrey\">&#8226; <span class=\"LightGrey\">4</span> победы: <span class=\"LightGrey\">2</span> билета</span>, <span class=\"LightGrey\">2</span> комплекта карт</span>"
	"DCG_Gauntlet_Rewards_9_2"						"<span class=\"StandardGrey\">&#8226; <span class=\"LightGrey\">5</span> побед: <span class=\"LightGrey\">2</span> билета</span>, <span class=\"LightGrey\">3</span> комплекта карт</span>"
	"DCG_Gauntlet_Rewards_9_3"						"<span class=\"StandardGrey\">&#8226; Карты из драфта останутся у вас!</span>"

	"DCG_Gauntlet_Rewards_9_Wins_3"						"<span class=\"StandardGrey\">Награда за <span class=\"LightGrey\">3</span> победы: <span class=\"LightGrey\">2</span> билета</span>, <span class=\"LightGrey\">1</span> комплект карт</span>"
	"DCG_Gauntlet_Rewards_9_Wins_4"						"<span class=\"StandardGrey\">Награда за <span class=\"LightGrey\">4</span> победы: <span class=\"LightGrey\">2</span> билета</span>, <span class=\"LightGrey\">2</span> комплекта карт</span>"
	"DCG_Gauntlet_Rewards_9_Wins_5"						"<span class=\"StandardGrey\">Награда за <span class=\"LightGrey\">5</span> побед: <span class=\"LightGrey\">2</span> билета</span>, <span class=\"LightGrey\">3</span> комплекта карт</span>"

	"DCG_Gauntlet_ServerDown_Disabled"					"Не в сети"

	// Play Rework
	"DCG_GauntletTitle_Constructed"						"Состязание: личные колоды"
	"DCG_GauntletDescription_Constructed"					"Описание формата «Личные колоды»"
	"DCG_GauntletTitle_PhantomDraft"						"Состязание: фантомный драфт"
	"DCG_GauntletDescription_PhantomDraft"				"Описание формата «Фантомный драфт»"
	"DCG_GauntletTitle_KeeperDraft"						"Состязание: комплектный драфт"
	"DCG_GauntletDescription_KeeperDraft"				"Описание формата «Комплектный драфт»"

	// Gauntlet Errors
	"DCG_GauntletJoin_Error_Title"					"Не удалось подключиться к состязанию"
	"DCG_GauntletJoin_Error_FailedToSend"			"Не удалось связаться с сетью Artifact. Повторите попытку позже."
	"DCG_GauntletJoin_Error_InternalError"			"При попытке присоединиться к состязанию произошла внутренняя ошибка. Повторите попытку позже."
	"DCG_GauntletJoin_Error_InvalidGauntlet"		"К этому состязанию больше нельзя присоединиться."
	"DCG_GauntletJoin_Error_TooBusy"				"Сеть Artifact перегружена, присоединяться к состязаниям пока невозможно. Повторите попытку позже."
	"DCG_GauntletJoin_Error_AlreadyInGauntlet"		"Вы уже находитесь в выбранном состязании."
	"DCG_GauntletJoin_Error_InvalidDeck"			"Предоставленная для состязания колода недействительна."
	"DCG_GauntletJoin_Error_MissingItem"			"Не удалось найти предмет, необходимый для участия в состязании. Повторите попытку."
	"DCG_GauntletJoin_Error_InvalidEntryCost"		"Внесённая плата за участие не соответствует ожидаемой. Возможно, вы используете устаревшую версию клиента."
	"DCG_GauntletJoin_Error_Disabled"				"В данный момент мы исправляем ошибку, поэтому присоединиться к состязанию невозможно. Повторите попытку позже."
	"DCG_GauntletJoin_Error_HasUnownedCards"		"У вас нет некоторых карт из предоставленной колоды. Пожалуйста, выберите другую колоду."
	"DCG_GauntletDeck_Error_RateLimited_Title"		"Не удалось запустить испытание"
	"DCG_GauntletDeck_Error_RateLimited_Desc"		"Испытание «{s:gauntlet_name}» можно перезапустить каждые {d:cooldownMinutes} мин. Вы сможете начать испытание снова {t:timestampUntil}."

	"DCG_GauntletAbandon_Error_Title"				"Не удалось покинуть состязание"
	"DCG_GauntletAbandon_Error_FailedToSend"		"Не удалось связаться с сетью Artifact. Повторите попытку позже."
	"DCG_GauntletAbandon_Error_InternalError"		"При попытке покинуть состязание произошла внутренняя ошибка. Повторите попытку позже."
	"DCG_GauntletAbandon_Error_InvalidGauntlet"		"Состязание, которое вы пытаетесь покинуть, больше не действительно. Возможно, вы уже покинули его."
	"DCG_GauntletAbandon_Error_TooBusy"				"Сеть Artifact перегружена, покинуть состязание пока невозможно. Повторите попытку позже."
	"DCG_GauntletAbandon_Error_Disabled"			"В данный момент мы исправляем ошибку, поэтому покинуть состязание невозможно. Повторите попытку позже."
	"DCG_GauntletAbandon_Rewards_Title"				"Поздравляем!"
	"DCG_GauntletAbandon_Rewards"					"Вы получили следующие награды:"
	"DCG_GauntletAbandon_Rewards_Confirm"			"Получить"
	"DCG_GauntletAbandon_Reward_Ticket"				"Входной билет"
	"DCG_GauntletAbandon_Reward_Pack"				"Комплект «Зов битвы»"

	"DCG_GauntletDeck_Error_Title"					"Не удалось зарегистрировать колоду"
	"DCG_GauntletDeck_Error_FailedToSend"			"Не удалось связаться с сетью Artifact. Повторите попытку позже."
	"DCG_GauntletDeck_Error_InternalError"			"При регистрации колоды произошла внутренняя ошибка. Повторите попытку позже."
	"DCG_GauntletDeck_Error_InvalidGauntlet"		"Вы не находитесь в выбранном состязании. Зарегистрировать колоду невозможно."
	"DCG_GauntletDeck_Error_DeckAlreadyRegistered"	"Вы уже зарегистрировали колоду для этого состязания, и её нельзя изменить."
	"DCG_GauntletDeck_Error_InvalidDeck"			"Предоставленная для состязания колода недействительна."
	"DCG_GauntletDeck_Error_HasUnownedCards"		"У вас нет некоторых карт из предоставленной колоды. Пожалуйста, выберите другую колоду."
	"DCG_GauntletDeck_Error_Disabled"				"В данный момент мы исправляем ошибку, поэтому зарегистрировать колоду для состязания невозможно. Повторите попытку позже."

	// Chat Wheel
	"DCG_ChatWheel_Custom_Short"					"[Своё сообщение]"
	"DCG_ChatWheel_Custom_Full"						"Введите своё сообщение."
	"DCG_ChatWheel_Phrase_1"						"Удачи!"
	"DCG_ChatWheel_Phrase_2"						"Ура!"
	"DCG_ChatWheel_Phrase_3"						"Ой-ой..."
	"DCG_ChatWheel_Phrase_4"						"Сожалею..."
	"DCG_ChatWheel_Phrase_5"						"Хм..."
	"DCG_ChatWheel_Phrase_6"						"Бывает же!"
	"DCG_ChatWheel_Phrase_7"						"Неплохо сыграно!"
	"DCG_ChatWheel_CreepPhrase_1"					"Подходи и получи!"
