"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"I know some of you supported the vhoul rebellion... that you believed Rix’s cause was just; and that Galanius was a tyrant who needed to be shown that the world wasn’t his.  I understand why you felt that way.  It doesn’t matter anymore.  Rix has taken The Oath; and in exchange for his soul the Court of Ristul has given him the means to destroy Stonehall.  Is Galanius a monster?  Maybe.  But at least he is of the living. We will not stand idle while demons butcher the men, women, and children of Stonehall.  We will march. And we will fight.  And yes, many of us will die; but we offer our lives not out of foolishness but out of necessity... because if we don’t stop the dead and the damned... who will?"
	"DCG_VO_lady_anshu_unique_02"	"You're going to wish you died in the plague wards, Rotund'jere."
	"DCG_VO_lady_anshu_unique_03"	"Я собираюсь вернуть твое гниющее тело назад на землю"
	"DCG_VO_lady_anshu_unique_04"	"Fighting on the right side of a single battle doesn't redeem you Necrophos."
	"DCG_VO_lady_anshu_unique_05"	"It sickens me to fight along side you."
	"DCG_VO_lady_anshu_unique_06"	"Rotund'jere, your march to redemption will be a long one."
	"DCG_VO_lady_anshu_unique_07"	"Follow me, and we will not fail."
	"DCG_VO_lady_anshu_unique_08"	"This is just the beginning of our crusade..."
	"DCG_VO_lady_anshu_unique_09"	"У нас много работы..."
	"DCG_VO_lady_anshu_unique_10"	"Smite the unclean!"
	"DCG_VO_lady_anshu_unique_11"	"This world is for the living!"
	"DCG_VO_lady_anshu_unique_12"	"The Rumusque will always stand against the damned!"
	"DCG_VO_lady_anshu_unique_13"	"Your quest for power ends here, necromancer..."
	"DCG_VO_lady_anshu_unique_14"	"The dead are meant to stay buried..."
	"DCG_VO_lady_anshu_unique_15"	"It is an honor to fight by your said Crella."
	"DCG_VO_lady_anshu_unique_16"	"Crella, you've come to deliver us!"
	"DCG_VO_lady_anshu_unique_17"	"Crella, you have answered our prayers..."
	"DCG_VO_lady_anshu_unique_18"	"Be brave, my child"
	"DCG_VO_lady_anshu_unique_19"	"Возможно в смерти ты найдешь свое искупление"
	"DCG_VO_lady_anshu_unique_20"	"Ты действительно пример для нас Crella..."
	"DCG_VO_lady_anshu_healed_01"	"ahhh"
	"DCG_VO_lady_anshu_healed_02"	"Спасибо."
	"DCG_VO_lady_anshu_healed_03"	"Очень признательна..."
	"DCG_VO_lady_anshu_healed_04"	"Так-то лучше..."
	"DCG_VO_lady_anshu_healed_05"	"Спасибо."
	"DCG_VO_lady_anshu_taunt_generic_01"	"Мы не проиграем!"
	"DCG_VO_lady_anshu_taunt_generic_02"	"Мы не прекратим сражаться!"
	"DCG_VO_lady_anshu_taunt_generic_03"	"Наше время пришло!"
	"DCG_VO_lady_anshu_taunt_generic_04"	"Victory is assured!"
	"DCG_VO_lady_anshu_taunt_generic_05"	"Now is the time to strike!"
	"DCG_VO_lady_anshu_taunt_generic_06"	"Purge the unclean!"
	"DCG_VO_lady_anshu_taunt_generic_07"	"Bring them low!"
	"DCG_VO_lady_anshu_taunt_generic_08"	"Destroy the ancient!"
	"DCG_VO_lady_anshu_taunt_generic_09"	"Take the tower!"
	"DCG_VO_lady_anshu_taunt_generic_10"	"St. Crella, веди нас к победе!"
	"DCG_VO_lady_anshu_potential_kill_01"	"Покайся."
	"DCG_VO_lady_anshu_potential_kill_02"	"Это конец."
	"DCG_VO_lady_anshu_potential_kill_03"	"I will end your wicked ways."
	"DCG_VO_lady_anshu_potential_kill_04"	"Ты не выживешь."
	"DCG_VO_lady_anshu_potential_kill_05"	"Сдавайся или умри."
	"DCG_VO_lady_anshu_potential_save_01"	"Не сегодня."
	"DCG_VO_lady_anshu_potential_save_02"	"The divine protects me."
	"DCG_VO_lady_anshu_potential_save_03"	"Сейчас не время умирать."
	"DCG_VO_lady_anshu_potential_save_04"	"Меня не напугаешь."
	"DCG_VO_lady_anshu_potential_save_05"	"I will never yield to evil."
	"DCG_VO_lady_anshu_permanent_armor_01"	"The armor of faith."
	"DCG_VO_lady_anshu_permanent_armor_02"	"The Saints защищают меня."
	"DCG_VO_lady_anshu_permanent_armor_03"	"Try to harm me..."
	"DCG_VO_lady_anshu_permanent_armor_04"	"There's nothing in battle I fear."
	"DCG_VO_lady_anshu_permanent_armor_05"	"I will turn your blades and arrows..."
	"DCG_VO_lady_anshu_permanent_attack_01"	"The Saints guide my hand"
	"DCG_VO_lady_anshu_permanent_attack_02"	"Теперь я сильнее."
	"DCG_VO_lady_anshu_permanent_attack_03"	"I will smite our enemies..."
	"DCG_VO_lady_anshu_permanent_attack_04"	"My hand destroys as well as it saves..."
	"DCG_VO_lady_anshu_permanent_attack_05"	"My retribution is divine..."
	"DCG_VO_lady_anshu_permanent_health_01"	"I'm not meant to die yet."
	"DCG_VO_lady_anshu_permanent_health_02"	"Мое время пока не пришло."
	"DCG_VO_lady_anshu_permanent_health_03"	"I'm invigorated by faith."
	"DCG_VO_lady_anshu_permanent_health_04"	"Я пример для своего народа."
	"DCG_VO_lady_anshu_permanent_health_05"	"I feel renewed."
	"DCG_VO_lady_anshu_cast_spell_01"	"Это сила веры!"
	"DCG_VO_lady_anshu_cast_spell_02"	"The Rumusque здесь чтобы спасти вас всех!"
	"DCG_VO_lady_anshu_cast_spell_03"	"I bring salvation!"
	"DCG_VO_lady_anshu_cast_spell_04"	"Ты под моей защитой!"
	"DCG_VO_lady_anshu_cast_spell_05"	"Я не позволю тебе умереть!"
	"DCG_VO_lady_anshu_cast_spell_06"	"There is nothing we can't accomplish..."
	"DCG_VO_lady_anshu_cast_spell_07"	"Мы не будем бояться зла..."
	"DCG_VO_lady_anshu_cast_spell_08"	"The darkness will be cast out."
	"DCG_VO_lady_anshu_cast_spell_09"	"No harm will come to you."
	"DCG_VO_lady_anshu_cast_spell_10"	"Я покажу тебе путь получше."
	"DCG_VO_lady_anshu_buff_ally_01"	"Let me help you, child."
	"DCG_VO_lady_anshu_buff_ally_02"	"The Rumusque are here to help."
	"DCG_VO_lady_anshu_buff_ally_03"	"Я буду твоей силой."
	"DCG_VO_lady_anshu_buff_ally_04"	"Ты здесь не один."
	"DCG_VO_lady_anshu_buff_ally_05"	"Мы должны помогать друг другу."
	"DCG_VO_lady_anshu_buff_ally_06"	"Blessings be upon you."
	"DCG_VO_lady_anshu_buff_ally_07"	"Иди и делай добро. "
	"DCG_VO_lady_anshu_buff_ally_08"	"May the plans of the wicked be made undone."
	"DCG_VO_lady_anshu_buff_ally_09"	"You have my favor."
	"DCG_VO_lady_anshu_buff_ally_10"	"Зло не победит."
	"DCG_VO_lady_anshu_debuff_enemy_01"	"You will crumble before me."
	"DCG_VO_lady_anshu_debuff_enemy_02"	"This is the beginning of your undoing..."
	"DCG_VO_lady_anshu_debuff_enemy_03"	"You will pay for your wicked ways."
	"DCG_VO_lady_anshu_debuff_enemy_04"	"Evil has no place here."
	"DCG_VO_lady_anshu_debuff_enemy_05"	"You will be crushed under the weight of your sins..."
	"DCG_VO_lady_anshu_debuff_enemy_06"	"Ты думаешь, что сможешь победить?"
	"DCG_VO_lady_anshu_debuff_enemy_07"	"Ты здесь умрешь."
	"DCG_VO_lady_anshu_debuff_enemy_08"	"This place is under the Rumusque's protection."
	"DCG_VO_lady_anshu_debuff_enemy_09"	"Ты пожалеешь, что пришел сюда."
	"DCG_VO_lady_anshu_debuff_enemy_10"	"Ты падешь."
	"DCG_VO_lady_anshu_single_target_damage_01"	"Все кончится здесь."
	"DCG_VO_lady_anshu_single_target_damage_02"	"Оставьте этого мне."
	"DCG_VO_lady_anshu_single_target_damage_03"	"Я не боюсь зла."
	"DCG_VO_lady_anshu_single_target_damage_04"	"Ты будешь гореть в святом огне."
	"DCG_VO_lady_anshu_single_target_damage_05"	"Ты не сильнее нас."
	"DCG_VO_lady_anshu_single_target_damage_06"	"Your terror ends here."
	"DCG_VO_lady_anshu_single_target_damage_07"	"Это конец для тебя."
	"DCG_VO_lady_anshu_single_target_damage_08"	"I'll send you to hell."
	"DCG_VO_lady_anshu_single_target_damage_09"	"В этом мире нет места для тебя."
	"DCG_VO_lady_anshu_single_target_damage_10"	"Your life is forfeit."
	"DCG_VO_lady_anshu_multi_damage_small_01"	"I can handle this."
	"DCG_VO_lady_anshu_multi_damage_small_02"	"Оставьте этих кретинов мне."
	"DCG_VO_lady_anshu_multi_damage_small_03"	"You're hardly worth the effort."
	"DCG_VO_lady_anshu_multi_damage_small_04"	"Я устою против всего зла."
	"DCG_VO_lady_anshu_multi_damage_small_05"	"Через меня не пройдешь."
	"DCG_VO_lady_anshu_multi_damage_small_06"	"A minor nusiance, nothing more."
	"DCG_VO_lady_anshu_multi_damage_small_07"	"Как ты смеешь?"
	"DCG_VO_lady_anshu_multi_damage_small_08"	"I am deliverance made flesh!"
	"DCG_VO_lady_anshu_multi_damage_small_09"	"Нам нечего бояться."
	"DCG_VO_lady_anshu_multi_damage_small_10"	"Дайте мне с ними разобраться."
	"DCG_VO_lady_anshu_multi_damage_large_01"	"ПОКАЙСЯ!"
	"DCG_VO_lady_anshu_multi_damage_large_02"	"Это сила the Rumusque!"
	"DCG_VO_lady_anshu_multi_damage_large_03"	"The Saints не позволят нам проиграть!"
	"DCG_VO_lady_anshu_multi_damage_large_04"	"We are bathed in holy light!"
	"DCG_VO_lady_anshu_multi_damage_large_05"	"The wicked will burn!"
	"DCG_VO_lady_anshu_multi_damage_large_06"	"Only the righteous will survive!"
	"DCG_VO_lady_anshu_multi_damage_large_07"	"I will cleanse this place of evil!"
	"DCG_VO_lady_anshu_multi_damage_large_08"	"It is time for judgement."
	"DCG_VO_lady_anshu_multi_damage_large_09"	"You have been found wanting."
	"DCG_VO_lady_anshu_multi_damage_large_10"	"The light will burn away the darkness!"
	"DCG_VO_lady_anshu_pleased_01"	"Отлично."
	"DCG_VO_lady_anshu_pleased_02"	"Это работает."
	"DCG_VO_lady_anshu_pleased_03"	"Saints be praised."
	"DCG_VO_lady_anshu_pleased_04"	"Благодарим Saints."
	"DCG_VO_lady_anshu_pleased_05"	"Мы были благославлены"
	"DCG_VO_lady_anshu_pleased_06"	"То что было нужно."
	"DCG_VO_lady_anshu_pleased_07"	"A needed respite."
	"DCG_VO_lady_anshu_pleased_08"	"The Saints provide."
	"DCG_VO_lady_anshu_pleased_09"	"Наша работа продолжается."
	"DCG_VO_lady_anshu_pleased_10"	"Это только начало."
	"DCG_VO_lady_anshu_concerned_01"	"We mustn't be complacent."
	"DCG_VO_lady_anshu_concerned_02"	"Это хуже, чем я думала..."
	"DCG_VO_lady_anshu_concerned_03"	"St. Malik дай мне мудрость."
	"DCG_VO_lady_anshu_concerned_04"	"боже мой..."
	"DCG_VO_lady_anshu_concerned_05"	"Нужно перегруппироваться."
	"DCG_VO_lady_anshu_concerned_06"	"Я постараюсь выйграть нам немного времени."
	"DCG_VO_lady_anshu_concerned_07"	"Это еще не конец."
	"DCG_VO_lady_anshu_concerned_08"	"Мы не можем терять надежду."
	"DCG_VO_lady_anshu_concerned_09"	"Это не конец."
	"DCG_VO_lady_anshu_concerned_10"	"У нас все еще есть времся..."
	"DCG_VO_lady_anshu_angry_01"	"No mercy awaits you."
	"DCG_VO_lady_anshu_angry_02"	"No quarter will be given."
	"DCG_VO_lady_anshu_angry_03"	"УБИТЬ ИХ ВСЕХ!"
	"DCG_VO_lady_anshu_angry_04"	"A reckoning is coming for you..."
	"DCG_VO_lady_anshu_angry_05"	"These abominations will be destroyed!"
	"DCG_VO_lady_anshu_angry_06"	"Отправим их обратно в ад!"
	"DCG_VO_lady_anshu_angry_07"	"I wont rest until you rot in perdition."
	"DCG_VO_lady_anshu_angry_08"	"Мы никогда не сдадимся!"
	"DCG_VO_lady_anshu_angry_09"	"Мы не сдадимся!"
	"DCG_VO_lady_anshu_angry_10"	"Это кончится сейчас!"
	"DCG_VO_lady_anshu_arrogant_01"	"The Rumusque are without equal."
	"DCG_VO_lady_anshu_arrogant_02"	"Моя сила божественна!"
	"DCG_VO_lady_anshu_arrogant_03"	"The Righteous не падет!"
	"DCG_VO_lady_anshu_arrogant_04"	"Ты думаешь я боюсь шарлотанов?"
	"DCG_VO_lady_anshu_arrogant_05"	"Они понятия не имеют, на что я способна."
	"DCG_VO_lady_anshu_arrogant_06"	"Be greatful for our intervention."
	"DCG_VO_lady_anshu_arrogant_07"	"Я подаю пример."
	"DCG_VO_lady_anshu_arrogant_08"	"Зло меня не остановит."
	"DCG_VO_lady_anshu_arrogant_09"	"Я ничего не боюсь."
	"DCG_VO_lady_anshu_arrogant_10"	"Похоже тебе нужна помощь."
	"DCG_VO_lady_anshu_enigmatic_01"	"Моя вера сильна."
	"DCG_VO_lady_anshu_enigmatic_02"	"St. Breen, дай нам сил."
	"DCG_VO_lady_anshu_enigmatic_03"	"Мы должны подготовиться."
	"DCG_VO_lady_anshu_enigmatic_04"	"Еще много работы..."
	"DCG_VO_lady_anshu_enigmatic_05"	"Мы должны быть готовы ко всему..."
	"DCG_VO_lady_anshu_enigmatic_06"	"The Wicked способны ко всему: мы должны быть готовы."
	"DCG_VO_lady_anshu_enigmatic_07"	"Мы должны застать их врасплох."
	"DCG_VO_lady_anshu_enigmatic_08"	"Наша сила растет."
	"DCG_VO_lady_anshu_enigmatic_09"	"Верные буду вознаграждены."
	"DCG_VO_lady_anshu_enigmatic_10"	"With the Saints aid, anything is possible."
	"DCG_VO_lady_anshu_death_01"	"крик"




}
